

Starting up round ID . 11:46:41
---------------------
[11:57:03]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown owl hardsuit with    (128,198,2)
[11:57:08]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Aaliyah Rhinehart(arkadiusz123) with The syringewhich had Romerol (NEWHP: 100) (128,204,2)
[11:57:08]ATTACK: <font color='red'>Aaliyah Rhinehart (arkadiusz123) injected Aaliyah Rhinehart (arkadiusz123) with syringe, which had Romerol (INTENT: HELP)</font>
[11:57:17]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Aaliyah Rhinehart(arkadiusz123) with The syringewhich had Romerol (NEWHP: 100) (127,209,2)
[11:57:17]ATTACK: <font color='red'>Aaliyah Rhinehart (arkadiusz123) injected Aaliyah Rhinehart (arkadiusz123) with syringe, which had Romerol (INTENT: HELP)</font>
[11:57:19]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Aaliyah Rhinehart(arkadiusz123) with The syringewhich had Romerol (NEWHP: 100) (137,209,2)
[11:57:19]ATTACK: <font color='red'>Aaliyah Rhinehart (arkadiusz123) injected Aaliyah Rhinehart (arkadiusz123) with syringe, which had Romerol (INTENT: HELP)</font>
[11:57:20]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Aaliyah Rhinehart(arkadiusz123) with The syringewhich had Romerol (NEWHP: 100) (140,209,2)
[11:57:20]ATTACK: <font color='red'>Aaliyah Rhinehart (arkadiusz123) injected Aaliyah Rhinehart (arkadiusz123) with syringe, which had Romerol (INTENT: HELP)</font>
[11:58:02]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Aaliyah Rhinehart(arkadiusz123) with The syringewhich had Romerol (NEWHP: 100) (153,207,2)
[11:58:02]ATTACK: <font color='red'>Aaliyah Rhinehart (arkadiusz123) injected Aaliyah Rhinehart (arkadiusz123) with syringe, which had Romerol (INTENT: HELP)</font>
[11:58:03]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Aaliyah Rhinehart(arkadiusz123) with The syringewhich had Romerol (NEWHP: 100) (153,207,2)
[11:58:03]ATTACK: <font color='red'>Aaliyah Rhinehart (arkadiusz123) injected Aaliyah Rhinehart (arkadiusz123) with syringe, which had Romerol (INTENT: HELP)</font>
[12:02:18]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown clockwork slab with    (145,201,2)
[12:05:12]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown pack of bluespace banana seeds with    (146,208,2)
[12:08:44]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,279,2)
[12:08:44]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,279,2)
[12:08:44]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,279,2)
[12:08:44]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,279,2)
[12:08:44]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,279,2)
[12:08:45]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,279,2)
[12:08:45]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown box with    (119,210,2)
[12:08:45]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 100) (132,273,2)
[12:08:45]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,279,2)
[12:08:45]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,279,2)
[12:08:45]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,279,2)
[12:08:45]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 100) (132,273,2)
[12:08:45]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 100) (132,273,2)
[12:08:46]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 100) (132,273,2)
[12:08:46]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 100) (132,273,2)
[12:08:46]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 100) (132,273,2)
[12:10:35]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,272,2)
[12:10:35]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,272,2)
[12:10:35]ATTACK: Jackson Waldron(bundeswer) fired at floor with 5.56mm bullet Arrival Shuttle Hallway   (132,272,2)
[12:10:35]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 86) (132,273,2)
[12:10:35]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 86) (132,273,2)
[12:10:35]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 86) (132,273,2)
[12:10:35]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 86) (132,273,2)
[12:10:36]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 86) (132,273,2)
[12:10:36]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 86) (132,273,2)
[12:10:36]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 86) (132,273,2)
[12:10:36]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 86) (132,273,2)
[12:10:36]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 86) (132,273,2)
[12:10:36]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 86) (132,273,2)
[12:10:36]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 86) (132,273,2)
[12:10:36]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 86) (132,273,2)
[12:10:37]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 86) (132,273,2)
[12:10:37]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 86) (132,273,2)
[12:10:37]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 86) (132,273,2)
[12:10:37]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 86) (132,273,2)
[12:10:37]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 86) (132,273,2)
[12:10:37]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 86) (132,273,2)
[12:10:37]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:37]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:38]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:38]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 72) (132,273,2)
[12:10:38]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 72) (132,273,2)
[12:10:38]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 72) (132,273,2)
