

Starting up round ID . 21:39:31
---------------------
[22:03:57]ATTACK: Nib(deranging) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:03:58]ATTACK: Nib(deranging) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:03:59]ATTACK: Nib(deranging) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:05:20]ATTACK: Nib(deranging) attemped to inject NON-EXISTENT SUBJECT with The bioterror syringewhich had Neurotoxin, Mute Toxin and Sodium Thiopental   
[22:05:45]ATTACK: bubblegum attacked Mr Lmao(maciekbaki) with  (NEWHP: 20) (110,15,5)
[22:05:47]ATTACK: bubblegum attacked Mr Lmao(maciekbaki) with  (NEWHP: -31) (110,15,5)
[22:05:49]ATTACK: bubblegum attacked Mr Lmao(maciekbaki) with  (NEWHP: -32) (110,15,5)
[22:05:51]ATTACK: bubblegum attacked Mr Lmao(maciekbaki) with  (NEWHP: -82.6) (110,15,5)
[22:05:54]ATTACK: bubblegum attacked Mr Lmao(maciekbaki) with  (NEWHP: -83.6) (110,15,5)
[22:08:29]ATTACK: Bishop(miniusareas) shot 7-Zark-7(noober84555) with The weakened kinetic force (NEWHP: 80) (7,76,7)
[22:08:45]ATTACK: Bishop(miniusareas) attacked 7-Zark-7(noober84555) with cyborg mining drill(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 50) (40,36,7)
[22:08:46]ATTACK: Bishop(miniusareas) attacked 7-Zark-7(noober84555) with cyborg mining drill(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 20) (40,36,7)
[22:08:47]ATTACK: Bishop(miniusareas) attacked 7-Zark-7(noober84555) with cyborg mining drill(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -10) (40,36,7)
[22:08:48]ATTACK: Bishop(miniusareas) attacked 7-Zark-7(noober84555) with cyborg mining drill(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -40) (40,36,7)
[22:08:49]ATTACK: Bishop(miniusareas) attacked 7-Zark-7(noober84555) with cyborg mining drill(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -70) (40,36,7)
[22:08:50]ATTACK: Bishop(miniusareas) attacked 7-Zark-7(noober84555) with cyborg mining drill(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -100) (40,36,7)
[22:08:51]ATTACK: Bishop(miniusareas) attacked 7-Zark-7(noober84555) with cyborg mining drill(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -100) (40,36,7)
[22:08:52]ATTACK: Bishop(miniusareas) attacked 7-Zark-7(noober84555) with cyborg mining drill(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -100) (40,36,7)
[22:08:53]ATTACK: Bishop(miniusareas) attacked 7-Zark-7(noober84555) with cyborg mining drill(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -100) (40,36,7)
[22:16:35]ATTACK: Nib(deranging) has thrown Dr. Gibb with    (136,228,2)
[22:16:35]ATTACK: Nib(deranging) splashed (thrown) Dr. Gibb floor with at the floor(137,229,2)   (137,229,2)
[22:20:11]ATTACK: MiniusAreas(miniusareas) fired at Chemistry Desk with The bolt of fireball Medbay Central   (151,156,2)
[22:20:48]ATTACK: MiniusAreas(miniusareas) fired at Medbay with The bolt of fireball Medbay Central   (161,159,2)
[22:21:48]ATTACK: MiniusAreas(miniusareas) fired at Departures Lounge with The bolt of fireball Departure Lounge   (146,122,2)
[22:21:48]ATTACK: NON-EXISTENT USER electrified Departures Lounge with    (146,122,2)
[22:22:29]ATTACK: MiniusAreas(miniusareas) fired at Maintenance Hatch with The bolt of fireball Port Maintenance   (108,188,2)
[22:22:29]ATTACK: NON-EXISTENT USER electrified Maintenance Hatch with    (108,188,2)
[22:22:46]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:22:47]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:22:49]ATTACK: watcher fired at Noober(noober84555) with The freezing blast Lavaland Wastes (NEWHP: 72) (129,9,5)
[22:22:49]ATTACK: MiniusAreas(miniusareas) fired at floor with The bolt of fireball Central Primary Hallway   (128,201,2)
[22:22:50]ATTACK: NON-EXISTENT USER electrified Bridge Access with    (129,199,2)
[22:22:53]ATTACK: watcher fired at Noober(noober84555) with The freezing blast Lavaland Wastes (NEWHP: 72) (133,10,5)
[22:22:53]ATTACK: watcher shot Noober(noober84555) with The freezing blast (NEWHP: 72) (133,10,5)
[22:22:55]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:22:57]ATTACK: watcher fired at Noober(noober84555) with The freezing blast Lavaland Wastes (NEWHP: 69.6) (128,10,5)
[22:22:57]ATTACK: watcher shot Noober(noober84555) with The freezing blast (NEWHP: 69.6) (128,10,5)
[22:23:05]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:23:06]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:23:07]ATTACK: MiniusAreas(miniusareas) fired at wooden table with The bolt of fireball Bridge   (146,199,2)
[22:23:13]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:23:15]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
[22:23:18]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Plasma, Formaldehyde, Cyanide and Fluorosulfuric acid   
